method,m,l2_penalty,image,per_pixel_error,latent_norm
fcvae-20,25,1.0,1,0.050874986404906834,2.0053629875183105
fcvae-20,25,1.0,2,0.03408345427861627,2.092560291290283
fcvae-20,25,1.0,3,0.01835885010339147,2.2503857612609863
fcvae-20,25,1.0,4,0.0066035645708358666,1.8393985033035278
fcvae-20,25,1.0,5,0.017431177217775172,2.5946850776672363
fcvae-20,25,1.0,6,0.03710365153417856,2.5649211406707764
fcvae-20,25,1.0,7,0.003601247336671412,1.890170931816101
fcvae-20,25,1.0,8,0.024755575255655016,2.5519235134124756
fcvae-20,25,1.0,9,0.020022316885492924,2.2570202350616455
vae-20,50,0.0,0,0.004965450498693026,8.421656608581543
vae-20,50,0.0,1,0.05750442061893273,14.145100593566895
vae-20,50,0.0,2,0.013088647342519192,10.954703330993652
vae-20,50,0.0,3,0.003671121567545105,9.365967750549316
vae-20,50,0.0,4,0.0031192771056159636,5.438486576080322
vae-20,50,0.0,5,0.0073153806617488855,10.047765731811523
vae-20,50,0.0,6,0.023901286780060718,9.895014762878418
vae-20,50,0.0,7,0.002204746616943069,9.131731986999512
vae-20,50,0.0,8,0.008471590496722168,11.572351455688477
vae-20,50,0.0,9,0.005180773344050768,11.659984588623047
vae-20,50,0.01,0,0.005316271158565967,4.55228328704834
vae-20,50,0.01,1,0.060218542817566445,8.670194625854492
vae-20,50,0.01,2,0.012202297555549765,8.32478141784668
vae-20,50,0.01,3,0.0036839841281893953,6.205136775970459
vae-20,50,0.01,4,0.00377789211039386,3.231367588043213
vae-20,50,0.01,5,0.008288541028890078,7.24561071395874
vae-20,50,0.01,6,0.023408509695073756,6.975322723388672
vae-20,50,0.01,7,0.0024820181984819673,4.432491302490234
vae-20,50,0.01,8,0.008874737461205354,7.907591819763184
vae-20,50,0.01,9,0.0049040463460692605,8.370513916015625
vae-20,50,0.1,0,0.004884262552573842,3.3893585205078125
vae-20,50,0.1,1,0.06138658447101651,4.0693440437316895
vae-20,50,0.1,2,0.011570239708913252,4.048743724822998
vae-20,50,0.1,3,0.003920973554142126,4.068135738372803
vae-20,50,0.1,4,0.003925774674768851,2.651128053665161
vae-20,50,0.1,5,0.008505392271237219,4.068113327026367
vae-20,50,0.1,6,0.022691888944091868,3.5720279216766357
vae-20,50,0.1,7,0.0025745974164686674,2.7253410816192627
vae-20,50,0.1,8,0.012148877073654864,4.398158550262451
vae-20,50,0.1,9,0.0055016356601405685,4.450723648071289
vae-20,50,1.0,0,0.006113327639022775,2.34684681892395
vae-20,50,1.0,1,0.07414744402509224,2.442227363586426
vae-20,50,1.0,2,0.01395396794014642,2.8870866298675537
vae-20,50,1.0,3,0.006842974473650889,3.0384132862091064
vae-20,50,1.0,4,0.004631383552721199,1.8791426420211792
vae-20,50,1.0,5,0.015541443407224529,2.804352283477783
vae-20,50,1.0,6,0.02502786950332462,2.8957059383392334
vae-20,50,1.0,7,0.004898305159485225,1.9783172607421875
