better,worse,m,mean_error_better,mean_error_worse,mean_difference,wins,n,p_wilcoxon,p_ttest,p_holm,significant,verdict
fcvae-20,dcgan-30,75,0.008428177901947689,0.03179999198314931,0.02337181408120162,10,10,0.001953125,0.006887816784689184,0.01953125,True,better
fcvae-20,dcgan-30,100,0.008292401977694002,0.029442453498731046,0.02115005152103705,10,10,0.001953125,0.015058035121489712,0.01953125,True,better
fcvae-20,dcgan-30,200,0.0075065803850181394,0.023281624519752388,0.015775044134734247,10,10,0.001953125,0.009435112321136467,0.01953125,True,better
fcvae-20,dcgan-30,300,0.0071705362729180796,0.02494077486618752,0.017770238593269438,10,10,0.001953125,0.015891012914407643,0.01953125,True,better
fcvae-20,dcgan-30,400,0.007245925083410751,0.022917073042893067,0.01567114795948232,10,10,0.001953125,0.007085477462650467,0.01953125,True,better
fcvae-20,dcgan-30,500,0.007233796938676559,0.02371623920582319,0.01648244226714663,10,10,0.001953125,0.014612264511598638,0.01953125,True,better
fcvae-20,dcgan-30,750,0.00698345743043618,0.02252886897227288,0.0155454115418367,10,10,0.001953125,0.007642724687261001,0.01953125,True,better
vae-20,vae-30,10,0.0778148767162668,0.07551506774080176,-0.002299808975465038,4,10,0.6953125,0.8187630039335667,1.0,False,ns
vae-20,vae-30,25,0.02882262403796602,0.01937793318413377,-0.00944469085383225,4,10,0.193359375,0.1442047481745604,1.0,False,ns
vae-20,vae-30,50,0.01548855020836129,0.01907752949924998,0.0035889792908886907,6,10,0.4921875,0.25184530451708037,1.0,False,ns
vae-20,vae-30,75,0.00877282982425035,0.00914920292434349,0.0003763731000931402,4,10,0.625,0.7191626875698766,1.0,False,ns
vae-20,vae-30,100,0.008269784632219281,0.00774840250367387,-0.0005213821285454101,5,10,0.431640625,0.29502904915758527,1.0,False,ns
vae-20,vae-30,200,0.00792102956781118,0.00722789395702841,-0.0006931356107827701,5,10,0.322265625,0.16686973829892487,1.0,False,ns
